PIC,RFID,NLISID,Visual ID,IssueDate,ManufactureDate,Colour,Status
NK509384,940 110035484734,NK509384ASU00164,CHAD 014,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484735,NK509384ASU00165,CHAD 015,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484736,NK509384ASU00166,CHAD 016,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484737,NK509384ASU00167,CHAD 017,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484738,NK509384ASU00168,CHAD 018,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484739,NK509384ASU00169,CHAD 019,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484740,NK509384ASU00170,CHAD 020,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110034353141,NK509384ASU00191,CHAD 001,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353142,NK509384ASU00192,CHAD 002,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353143,NK509384ASU00193,CHAD 003,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353144,NK509384ASU00194,CHAD 004,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353145,NK509384ASU00195,CHAD 005,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353146,NK509384ASU00196,CHAD 006,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353147,NK509384ASU00197,CHAD 007,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353148,NK509384ASU00198,CHAD 008,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353149,NK509384ASU00199,CHAD 009,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353150,NK509384ASU00200,CHAD 010,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353131,NK509384ASU00201,CHAD 011,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353132,NK509384ASU00202,CHAD 012,08/07/2024,08/07/2024,YELLOW,Unused
NK509384,940 110034353133,NK509384ASU00203,CHAD 013,08/07/2024,08/07/2024,YELLOW,Unused
